type,system_code,system_term,system_defenition,system_display
service-category,3,Alternative/Complementary Therapies,Alternative & Complementary Therapies,http://terminology.hl7.org/CodeSystem/service-category
service-category,4,Child Care /Kindergarten,Child Care and/or Kindergarten,http://terminology.hl7.org/CodeSystem/service-category
service-category,5,Child Development,Child Development,http://terminology.hl7.org/CodeSystem/service-category
service-category,6,Child Protection & Family Services,Child Protection & Family Services,http://terminology.hl7.org/CodeSystem/service-category
service-category,7,Community Health Care,Community Health Care,http://terminology.hl7.org/CodeSystem/service-category
service-category,8,Counselling,Counselling,http://terminology.hl7.org/CodeSystem/service-category
service-category,36,Crisis Line (GPAH use only),Crisis Line (GPAH use only),http://terminology.hl7.org/CodeSystem/service-category
service-category,9,Death Services,Death Services,http://terminology.hl7.org/CodeSystem/service-category
service-category,10,Dental,Dental,http://terminology.hl7.org/CodeSystem/service-category
service-category,11,Disability Support,Disability Support,http://terminology.hl7.org/CodeSystem/service-category
service-category,12,Drug/Alcohol,Drug/Alcohol,http://terminology.hl7.org/CodeSystem/service-category
service-category,13,Education & Learning,Education & Learning,http://terminology.hl7.org/CodeSystem/service-category
service-category,14,Emergency Department,Emergency Department,http://terminology.hl7.org/CodeSystem/service-category
service-category,15,Employment,Employment,http://terminology.hl7.org/CodeSystem/service-category
service-category,16,Financial & Material Aid,Financial & Material aid,http://terminology.hl7.org/CodeSystem/service-category
service-category,17,General Practice,General Practice/GP (doctor),http://terminology.hl7.org/CodeSystem/service-category
service-category,35,Hospital,Hospital,http://terminology.hl7.org/CodeSystem/service-category
service-category,18,Housing/Homelessness,Housing/Homelessness,http://terminology.hl7.org/CodeSystem/service-category
service-category,19,Interpreting,Interpreting,http://terminology.hl7.org/CodeSystem/service-category
service-category,20,Justice,Justice,http://terminology.hl7.org/CodeSystem/service-category
service-category,21,Legal,Legal,http://terminology.hl7.org/CodeSystem/service-category
service-category,22,Mental Health,Mental Health,http://terminology.hl7.org/CodeSystem/service-category
service-category,38,NDIA,NDIA,http://terminology.hl7.org/CodeSystem/service-category
service-category,23,Physical Activity & Recreation,Physical Activity & Recreation,http://terminology.hl7.org/CodeSystem/service-category
service-category,24,Regulation,Regulation,http://terminology.hl7.org/CodeSystem/service-category
service-category,25,Respite/Carer Support,Respite/Carer Support,http://terminology.hl7.org/CodeSystem/service-category
service-category,26,Specialist Clinical Pathology,Specialist Clinical Pathology - requires referral,http://terminology.hl7.org/CodeSystem/service-category
service-category,27,Specialist Medical,Specialist Medical - requires referral,http://terminology.hl7.org/CodeSystem/service-category
service-category,28,Specialist Obstetrics & Gynecology,Specialist Obstetrics & Gynecology - requires referral,http://terminology.hl7.org/CodeSystem/service-category
service-category,29,Specialist Paediatric,Specialist Paediatric - requires referral,http://terminology.hl7.org/CodeSystem/service-category
service-category,30,Specialist Radiology/Imaging,Specialist Radiology/Imaging - requires referral,http://terminology.hl7.org/CodeSystem/service-category
service-category,31,Specialist Surgical,Specialist Surgical - requires referral,http://terminology.hl7.org/CodeSystem/service-category
service-category,32,Support Group/s,Support group/s,http://terminology.hl7.org/CodeSystem/service-category
service-category,37,Test Message (HSD admin),Test Message (HSD admin use only),http://terminology.hl7.org/CodeSystem/service-category
service-category,33,Transport,Transport,http://terminology.hl7.org/CodeSystem/service-category
encounter-type,ADMS,Annual diabetes mellitus screening,,http://terminology.hl7.org/CodeSystem/encounter-type
encounter-type,BD/BM-clin,Bone drilling/bone marrow punction in clinic,,http://terminology.hl7.org/CodeSystem/encounter-type
encounter-type,CCS60,Infant colon screening - 60 minutes,,http://terminology.hl7.org/CodeSystem/encounter-type
encounter-type,OKI,Outpatient Kenacort injection,,http://terminology.hl7.org/CodeSystem/encounter-type
service-category,behav,Behavioral Health,"Services related to the promotion of mental health, resilience and wellbeing; the treatment of mental and substance use disorders; and the support of those who experience and/or are in recovery from these conditions, along with their families and communities.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,dent,Dental,"Services related to the study, diagnosis, prevention, and treatment of diseases, disorders, and conditions of the teeth, gums, and mouth.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,dme,DME/Medical Supplies,Health care consumables or equipments supplied to patients,http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,emerg,Emergency care,"Health care services rendered within a designated emergency care facility, for point-in-time evaluation and/or treatment any medical condition such that a prudent layperson possessing an average knowledge of medicine and health, believes that immediate unscheduled medical care is required.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,group,Medical Group,"Health care services provided by a collective of medical practitioners, typically physicians, who work together to deliver coordinated medical care. This group focuses on medical treatment and does not vision or dental services.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,home,Home Health,"Health care services delivered to patients within their residence rather than a clinical setting; usually provided by nurses, home health aides, and other professionals on a regularly scheduled visit.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,hosp,Hospital,Health care services rendered within a hospital or other inpatient setting providng patient treatment with specialzed medical and nursing staff and medical equipment.,http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,lab,Laboratory,"Pathology and laboratory testing on clinical specimenst to obtain informaion about the health of a paeint to aid in diagnosis, treatment and prevention of disease.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,outpat,Clinic or Outpatient Facility,"Health care services rendered in an outpatient facility, e.g. medical procedures, surgeries, etc.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,prov,Medical Provider,"Individual healthcare services rendered by a licensed medical professional, such as a physician or nurse, focusing on general medical care rather than specialized fields like dentistry or vision.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,pharm,Pharmacy,"Services related to the storage, compounding, dispensing and sale of drugs.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,trans,Transportation,"Services related to the transportation of patients to and from a healthcare facility, or programs related to transportation insecurity.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,urg,Urgent Care,Unscheduled health care services which provide for point-in-time evaluation or treatment of a non-life-threatening medical condition.,http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,vis,Vision,"Services related to the study, diagnosis, prevention, and treatment of diseases, disorders, and conditions of the eyes.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,education,Education,"Services or programs related to education, including health literacy, health education, and health promotion (stress management, smoking cessation, etc.)",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,employment,Employment,Services or programs related to employment assistance.,http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,financial,Financial,"Services or programs related to financial insecurity, material hardship, or medical cost burden.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,food,Food,Services or programs related to food insecurity or inadequate nutrition.,http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,housing,Housing,"Services or programs related to housing instability, inadequate housing, or homelessness.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,personal-safety,Personal Safety,"Services or programs related to personal safety, including intimate partner violence, elder abuse, sexual violence, and child abuse and neglect.",http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
service-category,social-connection,Social Connection,Services or programs related to social isolation or social connection.,http://terminology.hl7.org/CodeSystem/ndh-healthcare-service-category
data-absent-reason,unknown,Unknown,The value is expected to exist but is not known.,http://terminology.hl7.org/CodeSystem/data-absent-reason
data-absent-reason,masked,Masked,"The information is not available due to security, privacy or related reasons.",http://terminology.hl7.org/CodeSystem/data-absent-reason
data-absent-reason,not-applicable,Not Applicable,There is no proper value for this element (e.g. last menstrual period for a male).,http://terminology.hl7.org/CodeSystem/data-absent-reason
data-absent-reason,unsupported,Unsupported,The source system wasn't capable of supporting this element.,http://terminology.hl7.org/CodeSystem/data-absent-reason
data-absent-reason,as-text,As Text,The content of the data is represented in the resource narrative.,http://terminology.hl7.org/CodeSystem/data-absent-reason
data-absent-reason,error,Error,Some system or workflow process error means that the information is not available.,http://terminology.hl7.org/CodeSystem/data-absent-reason
data-absent-reason,not-performed,Not Performed,"The value is not available because the observation procedure (test, etc.) was not performed.",http://terminology.hl7.org/CodeSystem/data-absent-reason
data-absent-reason,not-permitted,Not Permitted,"The value is not permitted in this context (e.g. due to profiles, or the base data types).",http://terminology.hl7.org/CodeSystem/data-absent-reason
service-type,1,Adoption/Permanent Care Info/Support,Adoption & permanent care information/support,http://terminology.hl7.org/CodeSystem/service-type
service-type,2,Aged Care Assessment,Aged care assessment,http://terminology.hl7.org/CodeSystem/service-type
service-type,3,Aged Care Information/Referral,Aged Care information/referral,http://terminology.hl7.org/CodeSystem/service-type
service-type,4,Aged Residential Care,Aged Residential Care,http://terminology.hl7.org/CodeSystem/service-type
service-type,5,Case Management for Older Persons,Case management for older persons,http://terminology.hl7.org/CodeSystem/service-type
service-type,6,Delivered Meals (Meals On Wheels),Delivered meals (meals on wheels),http://terminology.hl7.org/CodeSystem/service-type
service-type,7,Friendly Visiting,Friendly visiting,http://terminology.hl7.org/CodeSystem/service-type
service-type,8,Home Care/Housekeeping Assistance,Home care/housekeeping assistance,http://terminology.hl7.org/CodeSystem/service-type
service-type,9,Home Maintenance and Repair,Home maintenance and repair,http://terminology.hl7.org/CodeSystem/service-type
service-type,10,Personal Alarms/Alerts,Personal alarms/alerts,http://terminology.hl7.org/CodeSystem/service-type
service-type,11,Personal Care for Older Persons,Personal care for older persons,http://terminology.hl7.org/CodeSystem/service-type
service-type,12,Planned Activity Groups,Planned activity groups,http://terminology.hl7.org/CodeSystem/service-type
service-type,13,Acupuncture,Acupuncture,http://terminology.hl7.org/CodeSystem/service-type
service-type,14,Alexander Technique Therapy,Alexander technique therapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,15,Aromatherapy,Aromatherapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,16,Biorhythm Services,Biorhythm services,http://terminology.hl7.org/CodeSystem/service-type
service-type,17,Bowen Therapy,Bowen therapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,18,Chinese Herbal Medicine,Chinese herbal medicine,http://terminology.hl7.org/CodeSystem/service-type
service-type,19,Feldenkrais,Feldenkrais,http://terminology.hl7.org/CodeSystem/service-type
service-type,20,Homoeopathy,Homoeopathy,http://terminology.hl7.org/CodeSystem/service-type
service-type,21,Hydrotherapy,Hydrotherapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,22,Hypnotherapy,Hypnotherapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,23,Kinesiology,Kinesiology,http://terminology.hl7.org/CodeSystem/service-type
service-type,24,Magnetic Therapy,Magnetic therapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,25,Massage Therapy,Massage therapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,26,Meditation,Meditation,http://terminology.hl7.org/CodeSystem/service-type
service-type,27,Myotherapy,Myotherapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,28,Naturopathy,Naturopathy,http://terminology.hl7.org/CodeSystem/service-type
service-type,29,Reflexology,Reflexology,http://terminology.hl7.org/CodeSystem/service-type
service-type,30,Reiki,Reiki,http://terminology.hl7.org/CodeSystem/service-type
service-type,31,Relaxation Therapy,Relaxation therapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,32,Shiatsu,Shiatsu,http://terminology.hl7.org/CodeSystem/service-type
service-type,33,Western Herbal Medicine,Western herbal medicine,http://terminology.hl7.org/CodeSystem/service-type
service-type,34,Family Day care,Family day care,http://terminology.hl7.org/CodeSystem/service-type
service-type,35,Holiday Programs,Holiday programs,http://terminology.hl7.org/CodeSystem/service-type
service-type,36,Kindergarten Inclusion Support,Kindergarten inclusion support for children with a disability,http://terminology.hl7.org/CodeSystem/service-type
service-type,37,Kindergarten/Preschool,Kindergarten/preschool,http://terminology.hl7.org/CodeSystem/service-type
service-type,38,Long Day Child Care,Long day child care,http://terminology.hl7.org/CodeSystem/service-type
service-type,39,Occasional Child Care,Occasional child care,http://terminology.hl7.org/CodeSystem/service-type
service-type,40,Outside School Hours Care,Outside school hours care,http://terminology.hl7.org/CodeSystem/service-type
service-type,41,Children's Play Programs,Children's play programs,http://terminology.hl7.org/CodeSystem/service-type
service-type,42,Parenting/Family Support/Education,Parenting & family management support/education,http://terminology.hl7.org/CodeSystem/service-type
service-type,43,Playgroup,Playgroup,http://terminology.hl7.org/CodeSystem/service-type
service-type,44,School Nursing,School nursing,http://terminology.hl7.org/CodeSystem/service-type
service-type,45,Toy Library,Toy library,http://terminology.hl7.org/CodeSystem/service-type
service-type,46,Child Protection/Child Abuse Report,Child protection/child abuse report,http://terminology.hl7.org/CodeSystem/service-type
service-type,47,Foster Care,Foster care,http://terminology.hl7.org/CodeSystem/service-type
service-type,48,Residential/Out-of-Home Care,Residential/ out of home care,http://terminology.hl7.org/CodeSystem/service-type
service-type,49,Support - Young People Leaving Care,Support for young people leaving care,http://terminology.hl7.org/CodeSystem/service-type
service-type,50,Audiology,Audiology,http://terminology.hl7.org/CodeSystem/service-type
service-type,51,Blood Donation,Blood donation,http://terminology.hl7.org/CodeSystem/service-type
service-type,52,Chiropractic,Chiropractic,http://terminology.hl7.org/CodeSystem/service-type
service-type,53,Dietetics,Dietetics,http://terminology.hl7.org/CodeSystem/service-type
service-type,54,Family Planning,Family planning,http://terminology.hl7.org/CodeSystem/service-type
service-type,55,Health Advocacy/Liaison Service,Health advocacy/Liaison service,http://terminology.hl7.org/CodeSystem/service-type
service-type,56,Health Information/Referral,Health information/referral,http://terminology.hl7.org/CodeSystem/service-type
service-type,57,Immunization,Immunization,http://terminology.hl7.org/CodeSystem/service-type
service-type,58,Maternal & Child Health,Maternal & child health,http://terminology.hl7.org/CodeSystem/service-type
service-type,59,Nursing,Nursing,http://terminology.hl7.org/CodeSystem/service-type
service-type,60,Nutrition,Nutrition,http://terminology.hl7.org/CodeSystem/service-type
service-type,61,Occupational Therapy,Occupational therapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,62,Optometry,Optometry,http://terminology.hl7.org/CodeSystem/service-type
service-type,63,Osteopathy,Osteopathy,http://terminology.hl7.org/CodeSystem/service-type
service-type,64,Pharmacy,Pharmacy,http://terminology.hl7.org/CodeSystem/service-type
service-type,65,Physiotherapy,Physiotherapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,66,Podiatry,Podiatry,http://terminology.hl7.org/CodeSystem/service-type
service-type,67,Sexual Health,Sexual health,http://terminology.hl7.org/CodeSystem/service-type
service-type,68,Speech Pathology/Therapy,Speech pathology/therapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,69,Bereavement Counselling,Bereavement counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,70,Crisis Counselling,Crisis counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,71,Family Counselling/Therapy,Family counselling and/or family therapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,72,Family Violence Counselling,Family violence counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,73,Financial Counselling,Financial counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,74,Generalist Counselling,Generalist counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,75,Genetic Counselling,Genetic counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,76,Health Counselling,Health counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,77,Mediation,Mediation,http://terminology.hl7.org/CodeSystem/service-type
service-type,78,Problem Gambling Counselling,Problem gambling counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,79,Relationship Counselling,Relationship counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,80,Sexual Assault Counselling,Sexual assault counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,81,Trauma Counselling,Trauma counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,82,Victims of Crime Counselling,Victims of crime counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,83,Cemetery Operation,Cemetery operation,http://terminology.hl7.org/CodeSystem/service-type
service-type,84,Cremation,Cremation,http://terminology.hl7.org/CodeSystem/service-type
service-type,85,Death Service Information,Death service information,http://terminology.hl7.org/CodeSystem/service-type
service-type,86,Funeral Services,Funeral services,http://terminology.hl7.org/CodeSystem/service-type
service-type,87,Endodontic,Endodontic,http://terminology.hl7.org/CodeSystem/service-type
service-type,88,General Dental,General dental,http://terminology.hl7.org/CodeSystem/service-type
service-type,89,Oral Medicine,Oral medicine,http://terminology.hl7.org/CodeSystem/service-type
service-type,90,Oral Surgery,Oral surgery,http://terminology.hl7.org/CodeSystem/service-type
service-type,91,Orthodontic,Orthodontic,http://terminology.hl7.org/CodeSystem/service-type
service-type,92,Paediatric Dentistry,Paediatric Dentistry,http://terminology.hl7.org/CodeSystem/service-type
service-type,93,Periodontic,Periodontic,http://terminology.hl7.org/CodeSystem/service-type
service-type,94,Prosthodontic,Prosthodontic,http://terminology.hl7.org/CodeSystem/service-type
service-type,95,Acquired Brain Injury Info/Referral,Acquired brain injury information/referral,http://terminology.hl7.org/CodeSystem/service-type
service-type,96,Disability Advocacy,Disability advocacy,http://terminology.hl7.org/CodeSystem/service-type
service-type,97,Disability Aids & Equipment,Disability aids & equipment,http://terminology.hl7.org/CodeSystem/service-type
service-type,98,Disability Case Management,Disability case management,http://terminology.hl7.org/CodeSystem/service-type
service-type,99,Disability Day Programs/Activities,Disability day programs & activities,http://terminology.hl7.org/CodeSystem/service-type
service-type,100,Disability Information/Referral,Disability information/referral,http://terminology.hl7.org/CodeSystem/service-type
service-type,101,Disability Support Packages,Disability support packages,http://terminology.hl7.org/CodeSystem/service-type
service-type,102,Disability Supported Accommodation,Disability supported accommodation,http://terminology.hl7.org/CodeSystem/service-type
service-type,103,Early Childhood Intervention,Early childhood intervention,http://terminology.hl7.org/CodeSystem/service-type
service-type,104,Hearing Aids & Equipment,Hearing aids & equipment,http://terminology.hl7.org/CodeSystem/service-type
service-type,105,Drug and/or Alcohol Counselling,Drug and/or alcohol counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,106,Drug/Alcohol Information/Referral,Drug and/or alcohol information/referral,http://terminology.hl7.org/CodeSystem/service-type
service-type,107,Needle & Syringe Exchange,Needle & Syringe exchange,http://terminology.hl7.org/CodeSystem/service-type
service-type,108,Non-resid. Alcohol/Drug Treatment,Non-residential alcohol and/or drug dependence treatment,http://terminology.hl7.org/CodeSystem/service-type
service-type,109,Pharmacotherapy,Pharmacotherapy (eg. methadone) program,http://terminology.hl7.org/CodeSystem/service-type
service-type,110,Quit Program,Quit program,http://terminology.hl7.org/CodeSystem/service-type
service-type,111,Residential Alcohol/Drug Treatment,Residential alcohol and/or drug dependence treatment,http://terminology.hl7.org/CodeSystem/service-type
service-type,112,Adult/Community Education,Adult/community education,http://terminology.hl7.org/CodeSystem/service-type
service-type,113,Higher Education,Higher education,http://terminology.hl7.org/CodeSystem/service-type
service-type,114,Primary Education,Primary education,http://terminology.hl7.org/CodeSystem/service-type
service-type,115,Secondary Education,Secondary education,http://terminology.hl7.org/CodeSystem/service-type
service-type,116,Training & Vocational Education,Training & vocational education,http://terminology.hl7.org/CodeSystem/service-type
service-type,117,Emergency Medical,Emergency medical,http://terminology.hl7.org/CodeSystem/service-type
service-type,118,Employment Placement and/or Support,Employment placement and/or support,http://terminology.hl7.org/CodeSystem/service-type
service-type,119,Vocational Rehabilitation,Vocational Rehabilitation,http://terminology.hl7.org/CodeSystem/service-type
service-type,120,Work Safety/Accident Prevention,Workplace safety and/or accident prevention,http://terminology.hl7.org/CodeSystem/service-type
service-type,121,Financial Assistance,Financial assistance,http://terminology.hl7.org/CodeSystem/service-type
service-type,122,Financial Information/Advice,Financial information/advice,http://terminology.hl7.org/CodeSystem/service-type
service-type,123,Material Aid,Material aid,http://terminology.hl7.org/CodeSystem/service-type
service-type,124,General Practice,General Practice/GP (doctor),http://terminology.hl7.org/CodeSystem/service-type
service-type,125,Accommodation Placement/Support,Accommodation placement and/or support,http://terminology.hl7.org/CodeSystem/service-type
service-type,126,Crisis/Emergency Accommodation,Crisis/emergency accommodation,http://terminology.hl7.org/CodeSystem/service-type
service-type,127,Homelessness Support,Homelessness support,http://terminology.hl7.org/CodeSystem/service-type
service-type,128,Housing Information/Referral,Housing information/referral,http://terminology.hl7.org/CodeSystem/service-type
service-type,129,Public Rental Housing,Public rental housing,http://terminology.hl7.org/CodeSystem/service-type
service-type,130,Interpreting/Multilingual Service,Interpreting/Multilingual/Language service,http://terminology.hl7.org/CodeSystem/service-type
service-type,131,Juvenile Justice,Juvenile Justice,http://terminology.hl7.org/CodeSystem/service-type
service-type,132,Legal Advocacy,Legal advocacy,http://terminology.hl7.org/CodeSystem/service-type
service-type,133,Legal Information/Advice/Referral,Legal information/advice/referral,http://terminology.hl7.org/CodeSystem/service-type
service-type,134,Mental Health Advocacy,Mental health advocacy,http://terminology.hl7.org/CodeSystem/service-type
service-type,135,Mental Health Assess/Triage/Crisis Response,Mental health assessment/triage/crisis response,http://terminology.hl7.org/CodeSystem/service-type
service-type,136,Mental Health Case Management,Mental health case management/continuing care,http://terminology.hl7.org/CodeSystem/service-type
service-type,137,Mental Health Information/Referral,Mental health information/referral,http://terminology.hl7.org/CodeSystem/service-type
service-type,138,Mental Health Inpatient Services,Mental health inpatient services (hospital psychiatric unit) - requires referral,http://terminology.hl7.org/CodeSystem/service-type
service-type,139,Mental Health Non-residential Rehab,Mental health non-residential rehabilitation,http://terminology.hl7.org/CodeSystem/service-type
service-type,140,Mental Health Residential Rehab/CCU,Mental health residential rehabilitation/community care unit,http://terminology.hl7.org/CodeSystem/service-type
service-type,141,Psychiatry (Requires Referral),Psychiatry (requires referral),http://terminology.hl7.org/CodeSystem/service-type
service-type,142,Psychology,Psychology,http://terminology.hl7.org/CodeSystem/service-type
service-type,143,Martial Arts,Martial arts,http://terminology.hl7.org/CodeSystem/service-type
service-type,144,Personal Fitness Training,Personal fitness training,http://terminology.hl7.org/CodeSystem/service-type
service-type,145,Physical Activity Group,Physical activity group,http://terminology.hl7.org/CodeSystem/service-type
service-type,146,Physical Activity Programs,Physical activity programs,http://terminology.hl7.org/CodeSystem/service-type
service-type,147,Physical Fitness Testing,Physical fitness testing,http://terminology.hl7.org/CodeSystem/service-type
service-type,148,Pilates,Pilates,http://terminology.hl7.org/CodeSystem/service-type
service-type,149,Self-Defence,Self defence,http://terminology.hl7.org/CodeSystem/service-type
service-type,150,Sporting Club,Sporting club,http://terminology.hl7.org/CodeSystem/service-type
service-type,151,Yoga,Yoga,http://terminology.hl7.org/CodeSystem/service-type
service-type,152,Food Safety,Food safety,http://terminology.hl7.org/CodeSystem/service-type
service-type,153,Health Regulatory /Inspection /Cert.,"Health regulatory, inspection and/or certification",http://terminology.hl7.org/CodeSystem/service-type
service-type,154,Work Health/Safety Inspection/Cert.,Workplace health and/or safety inspection and/or certification,http://terminology.hl7.org/CodeSystem/service-type
service-type,155,Carer Support,Carer support,http://terminology.hl7.org/CodeSystem/service-type
service-type,156,Respite Care,Respite care,http://terminology.hl7.org/CodeSystem/service-type
service-type,157,Anatomical Pathology,Anatomical Pathology (including Cytopathology & Forensic Pathology),http://terminology.hl7.org/CodeSystem/service-type
service-type,158,Pathology - Clinical Chemistry,Pathology - Clinical Chemistry,http://terminology.hl7.org/CodeSystem/service-type
service-type,159,Pathology - General,Pathology - General,http://terminology.hl7.org/CodeSystem/service-type
service-type,160,Pathology - Genetics,Pathology - Genetics,http://terminology.hl7.org/CodeSystem/service-type
service-type,161,Pathology - Haematology,Pathology - Haematology,http://terminology.hl7.org/CodeSystem/service-type
service-type,162,Pathology - Immunology,Pathology - Immunology,http://terminology.hl7.org/CodeSystem/service-type
service-type,163,Pathology - Microbiology,Pathology - Microbiology,http://terminology.hl7.org/CodeSystem/service-type
service-type,164,Anaesthesiology - Pain Medicine,Anaesthesiology - Pain Medicine,http://terminology.hl7.org/CodeSystem/service-type
service-type,165,Cardiology,Cardiology,http://terminology.hl7.org/CodeSystem/service-type
service-type,166,Clinical Genetics,Clinical Genetics,http://terminology.hl7.org/CodeSystem/service-type
service-type,167,Clinical Pharmacology,Clinical Pharmacology,http://terminology.hl7.org/CodeSystem/service-type
service-type,168,Dermatology,Dermatology,http://terminology.hl7.org/CodeSystem/service-type
service-type,169,Endocrinology,Endocrinology,http://terminology.hl7.org/CodeSystem/service-type
service-type,170,Gastroenterology & Hepatology,Gastroenterology & Hepatology,http://terminology.hl7.org/CodeSystem/service-type
service-type,171,Geriatric Medicine,Geriatric medicine,http://terminology.hl7.org/CodeSystem/service-type
service-type,172,Immunology & Allergy,Immunology & Allergy,http://terminology.hl7.org/CodeSystem/service-type
service-type,173,Infectious Diseases,Infectious diseases,http://terminology.hl7.org/CodeSystem/service-type
service-type,174,Intensive Care Medicine,Intensive care medicine,http://terminology.hl7.org/CodeSystem/service-type
service-type,175,Medical Oncology,Medical Oncology,http://terminology.hl7.org/CodeSystem/service-type
service-type,176,Nephrology,Nephrology,http://terminology.hl7.org/CodeSystem/service-type
service-type,177,Neurology,Neurology,http://terminology.hl7.org/CodeSystem/service-type
service-type,178,Occupational Medicine,Occupational Medicine,http://terminology.hl7.org/CodeSystem/service-type
